"","alpha[1,1]","alpha[2,1]","alpha[3,1]","alpha[4,1]","alpha[5,1]","alpha[6,1]","alpha[7,1]","alpha[8,1]","alpha[9,1]","alpha[1,2]","alpha[2,2]","alpha[3,2]","alpha[4,2]","alpha[5,2]","alpha[6,2]","alpha[7,2]","alpha[8,2]","alpha[9,2]","beta[1,1]","beta[2,1]","beta[3,1]","beta[4,1]","beta[5,1]","beta[6,1]","beta[7,1]","beta[8,1]","beta[9,1]","beta[1,2]","beta[2,2]","beta[3,2]","beta[4,2]","beta[5,2]","beta[6,2]","beta[7,2]","beta[8,2]","beta[9,2]"
"32",-1.85214195322391,-1.7788328701647,-1.82551127149987,-1.80330130351827,-2.00839132416138,-1.86755429695253,-3.01801158988435,-1.68991993313564,-1.73646781269735,-1.41628307213774,-1.53318197986668,-1.58865918626064,-1.39895895732148,-1.51279005567805,-1.3353364095622,-2.29674341489105,-1.55885975347939,-1.36248966570717,0.215533532840313,0.240590009841516,0.19936035902929,0.195018083955389,0.237480290949954,0.216626731004537,0.360799249889676,0.206298041045008,0.205034306638832,0.167069477073757,0.17298342682557,0.194432099512472,0.185401919385427,0.192138131430594,0.152528576563582,0.285531804629149,0.194915278438308,0.151738783397327
"33",-1.85126089022313,-1.99747610730068,-1.81643068359358,-1.76487167767325,-1.96258707737515,-1.94983271562449,-3.08867408695118,-1.7167157896412,-1.87590465381453,-1.47716590125829,-1.52086200410525,-1.52905269297804,-1.48808022452328,-1.64551377788136,-1.36414311632574,-2.47945859719258,-1.654375378242,-1.35189342625074,0.212497944865639,0.243400584222256,0.204157252447407,0.191707258392119,0.236530654845729,0.216541961117805,0.360474577997386,0.211374870769691,0.211112937610312,0.165592274130949,0.170847406859249,0.190943694203098,0.192343558978157,0.179114664249405,0.159020631206231,0.313158433656436,0.188449751530555,0.155959442448152
"34",-1.83349153067761,-1.92132086314032,-1.96028449999558,-1.76103752387272,-1.95751024101496,-2.00604211342876,-3.10753542303229,-1.77096774926014,-1.94122522466587,-1.4318893373172,-1.44999355797956,-1.56889769838056,-1.59665602066863,-1.48698261029221,-1.41999457779466,-2.63229709626146,-1.65341025181975,-1.36985622498867,0.238923427654742,0.229789675461321,0.225444225542509,0.203242837498774,0.234180813201318,0.223336692736189,0.356285543405826,0.213265539118876,0.216895673196924,0.16906731103358,0.159963963760772,0.199634548886767,0.187836252612257,0.197503278335972,0.173219822532281,0.317626938040373,0.209517161947502,0.169196955195304
"35",-1.92181274852779,-1.89083149841018,-1.95255958441739,-1.75975959472493,-1.9459221756123,-1.84120361671257,-3.00930513515221,-1.76558794444025,-1.94747872579956,-1.40755962212942,-1.39774245276761,-1.4729183585128,-1.51646644869885,-1.4566810807549,-1.54373957646769,-2.63347090074054,-1.7333984958052,-1.40415408106079,0.222954047875082,0.232066082159413,0.22295139153089,0.217572520718055,0.23939705612216,0.192865804509214,0.356546219620723,0.230585785198042,0.214157396089587,0.165424015954534,0.163792705127695,0.181446957272284,0.200863103603153,0.204420474464371,0.178412626668546,0.322264687793921,0.201648182034708,0.155605785049575
"36",-1.79861177954255,-1.83315942632236,-1.82543806967679,-1.81600099112562,-1.91563387935622,-1.74558941031346,-3.00605096035135,-1.95504858581805,-1.98348071029817,-1.36699735976687,-1.37141026500728,-1.49444439783664,-1.54248818889941,-1.55302026023953,-1.46131892116051,-2.61971237773501,-1.72384773205977,-1.40009401640348,0.218949929749142,0.23555449116077,0.216099710772324,0.216063994223108,0.23809745804749,0.193179053414068,0.347327331851977,0.218738393691164,0.210269905343032,0.167351091270609,0.158374519558512,0.175789290284327,0.183973809104356,0.203408602476295,0.173242145179694,0.324196582289956,0.206576347171649,0.163627368476152
"37",-1.75757879738058,-1.82236891218925,-1.88072927587005,-1.81726311144713,-1.91196226299661,-1.76874798758346,-2.87435878957112,-1.94602977084378,-2.00741067972244,-1.38987318273461,-1.35189210996888,-1.41115793020099,-1.51595616507081,-1.8620622793825,-1.46370300584178,-2.6294181574181,-1.67529630551305,-1.50655390259841,0.204326070909676,0.233856780921931,0.211922059553605,0.232208615404548,0.241801248345633,0.212621931887108,0.33659367880419,0.239039518731645,0.224001829853599,0.163932283346671,0.169670515519475,0.179806565834261,0.198071416011427,0.203530868087254,0.172633428462587,0.321347995186787,0.212377052594526,0.168586187383028
"38",-1.75603284761199,-1.83378188532868,-1.73373709163358,-1.84839776786271,-2.04776698020761,-1.86226521104932,-2.94467176357132,-1.8474554427044,-1.98633817495553,-1.50407138896844,-1.60615537500986,-1.38530992358106,-1.51038072173739,-1.69083522908652,-1.44128265300474,-2.62710675050102,-1.54083231539643,-1.31329711577571,0.213613387391967,0.230732133376929,0.200503954536033,0.223268296196523,0.243126271379979,0.20572131061528,0.328717245421344,0.203515919121245,0.227764020719159,0.16344694483304,0.189429816578597,0.179055926025319,0.202043802537501,0.203972371819267,0.179334439824508,0.313942133795234,0.205653047543272,0.139565500982308
"39",-1.73934418948836,-1.79641655533492,-1.74462003879898,-1.87040266294113,-2.09325488022585,-1.79830660614561,-2.87582987694925,-1.44799383038519,-1.99960650095847,-1.47826969105162,-1.60595285886589,-1.48843299012671,-1.51593865487681,-1.78288598712435,-1.48034066546507,-2.56844367776984,-1.69184245785338,-1.30648641432161,0.202731884247197,0.218806785050409,0.200379880278894,0.240145120998505,0.251093798514984,0.214913802746279,0.321196563065956,0.185566866833196,0.20406279192524,0.169294026920831,0.202712907851196,0.183022662541595,0.201424233743141,0.210115457502752,0.17524959065373,0.306004288274831,0.20091705679187,0.139061910515152
"40",-1.75422452739842,-1.67331408454155,-1.66297720570223,-1.88724050141789,-2.11343710223038,-1.83589853094849,-2.7274399407397,-1.47308067660908,-1.81985337658495,-1.31323356129651,-1.59661174199554,-1.52477404694084,-1.43081105445385,-1.78910408403899,-1.42894445317956,-2.63701573914651,-1.56396566507255,-1.28304375372035,0.211535086512018,0.221841132497973,0.184472382486927,0.217136430253768,0.244985551765973,0.232618542710636,0.317331481231226,0.183960166533806,0.203858900410889,0.148040006504124,0.194118862284697,0.190919114432079,0.200675017631628,0.21876331506769,0.169984879322451,0.317180160482453,0.176742781348245,0.156683101485123
"41",-1.75509085226362,-1.69546823650749,-1.6433802367536,-1.78983696046997,-2.0366577715015,-1.83259584658251,-2.51370397207669,-1.49134913842467,-1.83878372756924,-1.38188697718362,-1.68284352046742,-1.6064754798827,-1.52928656833303,-1.69460024947113,-1.44454610322562,-2.8038032985943,-1.56680103620875,-1.33071822329859,0.19914266076908,0.208366792826747,0.183491342065311,0.219985750341427,0.248077359683417,0.181608681855013,0.312874937193358,0.185171394926396,0.200674418494876,0.163402329462476,0.185803807560959,0.205768829461471,0.191533075526542,0.221882777303298,0.173911441962265,0.326832197145894,0.199279183232152,0.14981272992247
